id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
26353100,Cute condo #C on Shelby close to everything,2449922,Amy,,District 6,36.16868,-86.75846,Entire home/apt,125,2,40,2019-10-27,2.40,6,171
26354451,Cute condo #D on Shelby close to everything,2449922,Amy,,District 6,36.16763,-86.76015,Entire home/apt,125,2,51,2019-11-04,3.04,6,163
26354589,Cute condo #F on Shelby close to everything,2449922,Amy,,District 6,36.16874,-86.75986,Entire home/apt,125,2,43,2019-10-28,2.61,6,166
26356781,Darling Nashville Home. Pure Wow Factor. Close to Everything.,6278385,John & Elisabeth #JLEAFUN,,District 17,36.14003,-86.76508,Entire home/apt,450,2,58,2019-11-11,3.54,1,0
26357211,Massive Designer Modern Gulch/Downtown,5727237,Mandy,,District 19,36.14799,-86.78339,Entire home/apt,850,1,10,2019-10-13,0.62,1,67
26359012,The Sky`s the Limit! Monthly Furnished Rental - Walkable East Nashville!,85360355,StayLocal,,District 6,36.18343,-86.72959,Entire home/apt,73,31,1,2019-07-01,0.21,115,1
26362762,Elegant 4BD/2.5BA nested in East Nashville-Downtwn,98052531,Sherry,,District 5,36.19713,-86.74532,Entire home/apt,152,2,27,2019-11-03,1.76,1,20
26368990,10 min walk to Broadway,198298074,Tai,,District 19,36.16861,-86.78448,Entire home/apt,185,1,118,2019-11-01,6.97,3,0
26386031,Charming East Nashville House - 10 min to downtown,19230863,Rebecca,,District 5,36.20702,-86.7609,Entire home/apt,167,2,19,2019-09-15,1.21,2,0
26425492,HOT TUB! 7beds/2 (Hidden by Airbnb) /BNA 8min/DT 20min/Lake 10min,198085025,Rhonda,,District 29,36.08364,-86.63906,Entire home/apt,99,31,50,2019-11-01,3.16,2,332
26426175,Pearls Place- Stylish Hideaway-minutes to downtown,198705713,Paige,,District 16,36.10531,-86.73831,Entire home/apt,96,1,102,2019-11-03,6.24,1,125
26426616,Nashville Area Home Sweet Home,41207602,Belinda,,District 10,36.32414,-86.71223,Entire home/apt,375,1,25,2019-10-20,1.61,6,360
26429476,★Wake Up Refreshed In Our Cozy Space★Parking+Patio,179578779,Ricky,,District 6,36.18275,-86.72441,Entire home/apt,69,1,93,2019-11-11,5.54,2,73
26442992,Elegant Downtown Home/RFtop/City Views/11 Beds,104850762,"DC Capital, LLC",,District 21,36.15793,-86.81553,Entire home/apt,250,2,34,2019-11-10,2.19,24,345
26448670,"Tri-Level Southern, Sophisticated Home in Wedgewood Houston",198875923,Brad And Lisa,,District 17,36.13236,-86.76676,Entire home/apt,175,1,58,2019-11-10,3.74,2,247
26456708,"Spacious, Quiet Comfort at Camp Catina,",198948107,Catherine,,District 8,36.22477,-86.7369,Entire home/apt,100,1,65,2019-11-17,3.95,1,296
26466639,House Of Blues ★7 BEDS★Rooftop Deck★10min2Broadway,31549142,Brandon,,District 5,36.20362,-86.74096,Entire home/apt,141,1,77,2019-11-18,4.61,32,337
26467931,ENTIRE HOME in Downtown Nashville. Great reviews!,25598159,T,,District 17,36.142,-86.7861,Entire home/apt,225,1,203,2019-11-17,12.38,1,76
26468457,Midtown highrise in music row - walk everywhere,12542242,Nick,,District 19,36.14856,-86.79464,Entire home/apt,226,2,3,2019-04-28,0.18,1,0
26473813,Dogwood House: Comfy+Bright 3BR 2BA Near Downtown,109712828,Kristin,,District 17,36.11591,-86.76544,Entire home/apt,195,1,59,2019-09-30,3.58,3,220
26473920,"Quaint Town Home, 1 Bedroom by the Airport",123953668,Trevor,,District 13,36.12111,-86.62715,Private room,45,1,13,2019-11-04,1.49,1,319
26488177,Voted Best of Nashville - Vibrant & Fantastic Downtown Condo,133757060,Zac,,District 19,36.16384,-86.78265,Entire home/apt,133,1,175,2019-11-13,10.74,4,72
26501188,Stylish Modern Home in East Nashville's 5 Points,5222914,Paul,,District 5,36.18283,-86.75003,Entire home/apt,275,1,36,2019-10-27,3.72,2,20
26501259,Town Home Near Vanderbilt and Mid Town,190650678,Bailey,,District 21,36.15928,-86.80184,Entire home/apt,199,2,49,2019-11-04,3.01,39,356
26502146,The Vue 84: 2miles to Stadium & Downtown Broadway!,1800236,Parker,,District 5,36.18897,-86.77249,Entire home/apt,241,2,45,2019-11-04,2.77,4,163
26502899,Beautiful 12 South Luxury Townhome w/Rooftop Deck!,6996624,Peter,,District 17,36.13581,-86.78554,Entire home/apt,350,3,51,2019-10-28,3.35,2,225
26519766,TITAN VIEW ★ HUGE NEW HOME ★ DOWNTOWN 4BR,101426897,Host Extraordinaires,,District 19,36.17918,-86.79332,Entire home/apt,299,2,25,2019-09-17,1.54,122,343
26522882,Stylish Modern Private Suite in East Nashville's Five Points,5222914,Paul,,District 5,36.18284,-86.7516,Private room,102,1,44,2019-10-30,3.46,2,52
26526427,Spacious Traditional Home in West Nashville Near Downtown,30962240,Xenos,,District 24,36.15214,-86.83318,Entire home/apt,150,2,150,2019-11-11,2.80,16,337
26531511,Cottage on the riverbend,199547157,Cleland,,District 15,36.22655,-86.70657,Entire home/apt,249,2,15,2019-10-06,1.14,1,343
26567062,Upscale 3BR/3.5BA - Rooftop Deck w/ Skyline View,106505883,TurnKey Vacation Rentals,,District 17,36.14586,-86.78724,Entire home/apt,133,2,8,2019-09-08,0.52,84,276
26567067,Nashville Townhome w/ Stunning Roof Deck,106505883,TurnKey Vacation Rentals,,District 17,36.14487,-86.78723,Entire home/apt,133,2,10,2019-11-17,0.62,84,266
26567425,Two Townhomes w/ Epic Skyline Views,106505883,TurnKey Vacation Rentals,,District 17,36.14462,-86.78746,Entire home/apt,427,2,4,2019-11-11,0.61,84,256
26568682,Stylish 4 story home in the heart of Nashville!,188765799,Ben And Kelly,,District 17,36.13583,-86.78591,Entire home/apt,189,2,45,2019-11-08,2.77,1,322
26576101,Charming Brentwood Escape,91180382,Robin,,District 4,36.04266,-86.74926,Private room,60,1,89,2019-11-17,5.37,1,185
26588795,Chic SoBro 1BR - Close to Everything,106505883,TurnKey Vacation Rentals,,District 19,36.15458,-86.76934,Entire home/apt,106,2,7,2019-10-21,0.49,84,352
26630873,Midtown Condo (near Vanderbilt) #2 w/ Free Parking,194957401,Music City Hostel,,District 21,36.15575,-86.79996,Hotel room,130,1,18,2019-10-20,1.36,6,288
26632206,Midtown Condo (near Downtown) #3 w/ Free Parking,194957401,Music City Hostel,,District 21,36.15572,-86.79927,Hotel room,145,1,24,2019-11-10,1.52,6,346
26637369,Midtown Casablanca,7894194,Kate & Chance,,District 21,36.14972,-86.80315,Entire home/apt,105,1,121,2019-10-29,7.26,16,346
26638862,Lovely Cottage ~2 BR 2 BA~ 7 Min. To Downtown,23854221,Sara,,District 5,36.19334,-86.76412,Entire home/apt,99,2,41,2019-11-03,2.53,1,64
26657389,Sweet East Nashville Cottage Close to Everything!!,5633033,Michelle,,District 5,36.18989,-86.76727,Entire home/apt,112,2,65,2019-11-16,4.12,2,178
26658902,A9) BRAND NEW HOME WALKING DISTANCE TO THE GULCH,132613025,Tyler,,District 17,36.14619,-86.7855,Entire home/apt,430,2,60,2019-11-04,3.70,37,229
26659476,Treat Yourself To Luxury! 2 miles from Downtown!,23314330,Sara,,District 19,36.18181,-86.79759,Entire home/apt,699,2,22,2019-11-10,1.48,6,286
26660593,"The Traveler's Bungalow: Cozy, Convenient, 3 bed.",77930747,Gretchen,,District 22,36.09256,-86.93871,Entire home/apt,150,2,48,2019-11-10,2.93,1,51
26662703,Serene and Modern House in an Authentic Neighborhood,17651188,Laura,,District 21,36.18255,-86.80889,Entire home/apt,279,2,25,2019-11-10,1.71,2,364
